method,query_id,subset,question,expected_file,expected_line,gold_hit_at_20,gold_rank,reciprocal_rank_at_20,kg_candidate_pool_contains_gold_before_rerank,kg_rank_before_rerank,kg_rank_after_rerank_full,kg_pool_size
Vector-only,L007-Q2,v2,"Hey, is anyone else noticing issues with a broker not being able to register? Sounds like there might be a version conflict.",core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,417,True,1,1.0,True,1,1,149
Vector-only,L007-Q3,v2,Could the inability to register broker $nodeId indicate that the required API version is not supported by the current setup?,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,417,True,1,1.0,True,1,1,104
Vector-only,L008-Q1,v2,We're encountering an issue where a message indicates an inconsistency in the topic ID for partition $topicPartition; can anyone confirm if there have been recent changes to the topic configuration?,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,456,True,3,0.3333333333333333,True,3,3,218
Vector-only,L008-Q2,v2,Has anyone noticed any odd behaviors related to the topic ID for partition $topicPartition? It seems like the leader is sending us conflicting information.,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,456,True,1,1.0,True,1,1,196
Vector-only,L008-Q3,v2,"Can we investigate the status of partition $topicPartition? It appears that we're receiving inconsistent topic ID errors from the leader, which might affect data consistency.",core/src/main/scala/kafka/server/AbstractFetcherThread.scala,456,True,1,1.0,True,1,1,127
Vector-only,L009-Q1,v2,"Why is the periodic task failing to execute as scheduled, and what implications does its unregistration have on system performance?",metadata/src/main/java/org/apache/kafka/controller/PeriodicTaskControlManager.java,178,True,1,1.0,True,1,1,136
Vector-only,L009-Q2,v2,"Hey, I noticed that a scheduled task has been unregistered. Could this be causing some delays in processing?",metadata/src/main/java/org/apache/kafka/controller/PeriodicTaskControlManager.java,178,True,1,1.0,True,1,1,134
Vector-only,L009-Q3,v2,Could the unregistration of this periodic task be related to recent configuration changes or resource constraints?,metadata/src/main/java/org/apache/kafka/controller/PeriodicTaskControlManager.java,178,True,1,1.0,True,1,1,42
Vector-only,L010-Q1,v2,We've noticed that the heartbeat signal is failing to send on time; could this be impacting the connection stability?,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,471,True,1,1.0,True,1,1,108
Vector-only,L010-Q2,v2,"Hey team, anyone else experiencing delays with the heartbeat? It seems like messages aren't getting through as expected.",core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,471,True,1,1.0,True,1,1,160
Vector-only,L010-Q3,v2,Can we investigate whether the recent RPC timeout is causing issues with heartbeat transmissions and leading to downstream problems?,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,471,True,1,1.0,True,1,1,104
Vector-only,L011-Q1,v2,"The system experienced delays, taking %d milliseconds to delete records from the local log. What factors may be contributing to this latency?",core/src/main/scala/kafka/server/ReplicaManager.scala,1317,True,1,1.0,True,1,1,159
Vector-only,L011-Q2,v2,"Hey team, I've noticed that deleting records from the local log is taking way longer than usual—around %d ms! Any ideas on what's going on?",core/src/main/scala/kafka/server/ReplicaManager.scala,1317,True,1,1.0,True,1,1,139
Vector-only,L011-Q3,v2,"We need to investigate the performance hit observed during record deletions on the local log, which are now taking %d ms longer than expected. What metrics should we check to diagnose this issue?",core/src/main/scala/kafka/server/ReplicaManager.scala,1317,True,1,1.0,True,1,1,139
Vector-only,L012-Q1,v2,It seems that a broker in our Kafka cluster has unexpectedly fenced itself. What impact has this had on message processing and consumer behavior?,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,408,True,10,0.1,True,10,10,194
Vector-only,L012-Q2,v2,"Hey team, we’ve noticed that one of our Kafka brokers is acting strange and has requested to be fenced. Has anyone else seen any dropped messages or delays in consumption from this broker?",metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,408,True,3,0.3333333333333333,True,3,3,246
Vector-only,L012-Q3,v2,Could you investigate the implications of the recent fencing action taken by one of the brokers? Are there any potential issues with message availability or partition leadership we should be aware of?,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,408,True,5,0.2,True,5,5,222
Vector-only,L013-Q1,v2,We've noticed that the selector is not responding as expected. Can anyone explain why the processor with ID $id is closing?,core/src/main/scala/kafka/network/SocketServer.scala,931,True,1,1.0,True,1,1,124
Vector-only,L013-Q2,v2,It seems like the processor identified by $id is shutting down unexpectedly. Could this be affecting our message flow?,core/src/main/scala/kafka/network/SocketServer.scala,931,True,3,0.3333333333333333,True,3,3,92
Vector-only,L013-Q3,v2,Is there any ongoing maintenance that could be causing the processor $id to close its selector prematurely?,core/src/main/scala/kafka/network/SocketServer.scala,931,True,1,1.0,True,1,1,77
Vector-only,L014-Q1,v2,"Are you experiencing issues with data being sent to the specified connection, particularly with connection ID $connectionId?",core/src/main/scala/kafka/network/SocketServer.scala,994,True,2,0.5,True,2,2,107
Vector-only,L014-Q2,v2,"Noticed any delays in data being processed for connection $connectionId, especially after the server received a response?",core/src/main/scala/kafka/network/SocketServer.scala,994,True,1,1.0,True,1,1,94
Vector-only,L014-Q3,v2,Could there be a bottleneck in our socket server that's preventing timely data transmission for connection ID $connectionId?,core/src/main/scala/kafka/network/SocketServer.scala,994,True,1,1.0,True,1,1,95
Vector-only,L015-Q1,v2,"The system is failing to register a controller, indicating that the channel manager might not be initialized. What could be the cause of this initialization issue?",core/src/main/scala/kafka/server/ControllerRegistrationManager.scala,205,True,1,1.0,True,1,1,29
Vector-only,L015-Q2,v2,We're experiencing a hiccup where the controller can't get registered. Is there any reason the channel manager hasn't been set up yet?,core/src/main/scala/kafka/server/ControllerRegistrationManager.scala,205,True,1,1.0,True,1,1,29
Vector-only,L015-Q3,v2,It appears that the controller registration process is stalled due to an uninitialized channel manager. What steps can we take to diagnose and address this problem?,core/src/main/scala/kafka/server/ControllerRegistrationManager.scala,205,True,1,1.0,True,1,1,40
Vector-only,L016-Q1,v2,"The system is failing to process incoming requests, leading to unexpected interruptions in service. What could be causing this issue?",core/src/main/scala/kafka/server/ControllerApis.scala,153,True,2,0.5,True,2,2,235
Vector-only,L016-Q2,v2,"I'm noticing that requests are not being handled correctly, resulting in errors. What should we check first to resolve this?",core/src/main/scala/kafka/server/ControllerApis.scala,153,True,3,0.3333333333333333,True,3,3,139
Vector-only,L016-Q3,v2,Could the handling failure of the incoming request be due to a configuration issue or resource limitation on the server?,core/src/main/scala/kafka/server/ControllerApis.scala,153,True,2,0.5,True,2,2,81
Vector-only,L017-Q1,v2,"Why is the Kafka consumer unable to connect to the coordinator, and what impact is this having on message processing?",core/src/main/scala/kafka/server/KafkaApis.scala,1252,False,,0.0,False,,,74
Vector-only,L017-Q2,v2,Is anyone else experiencing issues with the Kafka topic where messages aren’t being acknowledged due to an invalid coordinator key?,core/src/main/scala/kafka/server/KafkaApis.scala,1252,True,1,1.0,True,1,1,201
Vector-only,L017-Q3,v2,"Could the invalid share coordinator key be causing delays in message delivery, and how can we pinpoint the root cause?",core/src/main/scala/kafka/server/KafkaApis.scala,1252,True,1,1.0,True,1,1,147
Vector-only,L018-Q1,v2,Why are the processors failing to initialize for the specified listener endpoint?,core/src/main/scala/kafka/network/SocketServer.scala,537,True,2,0.5,True,2,2,88
Vector-only,L018-Q2,v2,"Hey, is anyone else noticing that the listener seems to be stuck and not processing messages?",core/src/main/scala/kafka/network/SocketServer.scala,537,True,8,0.125,True,8,8,263
Vector-only,L018-Q3,v2,Can we confirm whether the listener endpoint is correctly starting its processors as expected?,core/src/main/scala/kafka/network/SocketServer.scala,537,True,1,1.0,True,1,1,125
Vector-only,L019-Q1,v2,"Why did we initiate a new fetch context, and what impact does it have on our partition data?",core/src/main/scala/kafka/server/FetchSession.scala,863,True,1,1.0,True,1,1,134
Vector-only,L019-Q2,v2,I noticed we created a new fetch context—could this affect our current stream performance?,core/src/main/scala/kafka/server/FetchSession.scala,863,True,3,0.3333333333333333,True,3,3,138
Vector-only,L019-Q3,v2,Can we analyze the scenarios that trigger the creation of a full FetchContext and their implications on data retrieval?,core/src/main/scala/kafka/server/FetchSession.scala,863,True,1,1.0,True,1,1,84
Vector-only,L020-Q1,v2,"What could be causing the system to report difficulties in accessing the leader ID and Epoch, resulting in a reliance on the metadata cache?",core/src/main/scala/kafka/server/KafkaApis.scala,376,True,1,1.0,True,1,1,246
Vector-only,L020-Q2,v2,"Hey, why is it that I'm seeing issues with fetching the leader information? It seems like it's defaulting to some backup metadata.",core/src/main/scala/kafka/server/KafkaApis.scala,376,True,1,1.0,True,1,1,245
Vector-only,L020-Q3,v2,"Can we investigate why the Kafka broker is unable to get the local leader ID and Epoch, and what role this might play in our current data handling?",core/src/main/scala/kafka/server/KafkaApis.scala,376,True,1,1.0,True,1,1,242
Vector-only,L021-Q1,v2,We've noticed that a channel has been terminated due to it being inactive for too long. Could this be impacting our message processing?,core/src/main/scala/kafka/network/SocketServer.scala,1033,True,1,1.0,True,1,1,239
Vector-only,L021-Q2,v2,"Hey team, it seems like we're losing some connections due to inactivity. Is anyone else seeing issues with channels dropping unexpectedly?",core/src/main/scala/kafka/network/SocketServer.scala,1033,True,1,1.0,True,1,1,172
Vector-only,L021-Q3,v2,Can we investigate why channels are being disconnected for expiration? Are there specific patterns or timeframes in which this is occurring?,core/src/main/scala/kafka/network/SocketServer.scala,1033,True,1,1.0,True,1,1,173
Vector-only,L022-Q1,v2,"Why is the data being truncated and the fetch offset reset for the specified partition, and what impact does this have on message consumption?",core/src/main/scala/kafka/server/AbstractFetcherThread.scala,711,True,1,1.0,True,1,1,93
Vector-only,L022-Q2,v2,"Hey, I noticed that our messages for the topic are missing; could it be related to a fetch offset reset on one of the partitions?",core/src/main/scala/kafka/server/AbstractFetcherThread.scala,711,True,7,0.14285714285714285,True,7,7,93
Vector-only,L022-Q3,v2,Could the recent truncation and reset of the fetch offset for this partition indicate a potential issue with data retention or replication?,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,711,True,1,1.0,True,1,1,60
Vector-only,L023-Q1,v2,What problems are occurring with the communication between the offline log directory and the controllers?,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,332,True,1,1.0,True,1,1,224
Vector-only,L023-Q2,v2,"Hey, why is the system shutting down? Is it related to issues with the offline log directory?",core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,332,True,1,1.0,True,1,1,194
Vector-only,L023-Q3,v2,Can you investigate whether the offline log directory is failing to communicate with the controllers and what impact that might have?,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,332,True,1,1.0,True,1,1,179
Vector-only,L024-Q1,v2,"Why is our application experiencing delays when trying to produce messages, possibly due to an unknown topic identifier from the leader?",core/src/main/scala/kafka/server/AbstractFetcherThread.scala,450,True,6,0.16666666666666666,True,6,6,179
Vector-only,L024-Q2,v2,"Hey, why does it seem like we're getting errors about a topic not being recognized when we try to send data?",core/src/main/scala/kafka/server/AbstractFetcherThread.scala,450,False,,0.0,False,,,163
Vector-only,L024-Q3,v2,Could this issue with the partition be linked to a misconfiguration or a lack of topic registration in our Kafka setup?,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,450,False,,0.0,True,81,81,234
Vector-only,L025-Q1,v2,We've encountered an issue where new wakeup requests are unable to be added to the queue because it appears to be full. How are we managing the callback processing in light of this?,core/src/main/scala/kafka/network/RequestChannel.scala,503,True,1,1.0,True,1,1,220
Vector-only,L025-Q2,v2,"Hey team, it looks like we're hitting a snag with our wakeup requests not being added to the queue because it's at capacity. What does this mean for our current callback operations?",core/src/main/scala/kafka/network/RequestChannel.scala,503,True,1,1.0,True,1,1,249
Vector-only,L025-Q3,v2,Can we investigate the implications of not being able to add new wakeup requests to the queue? It seems like we might need to optimize our queue handling to avoid processing delays.,core/src/main/scala/kafka/network/RequestChannel.scala,503,True,1,1.0,True,1,1,231
Vector-only,L026-Q1,v2,The application is failing to initiate data retrieval for the specified topic partition. How do we troubleshoot this issue?,core/src/main/scala/kafka/server/ReplicaManager.scala,2508,False,,0.0,True,49,49,145
Vector-only,L026-Q2,v2,It looks like we're running into a problem where the fetch process isn't starting for one of our topic partitions. What could be causing this?,core/src/main/scala/kafka/server/ReplicaManager.scala,2508,False,,0.0,True,51,51,117
Vector-only,L026-Q3,v2,What diagnostic steps can we take to identify why the fetching process for the specified topic partition isn't starting up correctly?,core/src/main/scala/kafka/server/ReplicaManager.scala,2508,False,,0.0,True,49,49,125
Vector-only,L027-Q1,v2,"We've initiated an auto-creation request for topics, but the controller isn't responding as expected. What could be causing this delay?",core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,311,True,4,0.25,True,4,4,76
Vector-only,L027-Q2,v2,"It seems like we're trying to auto-create some topics, but nothing is happening. Has anyone noticed this issue before?",core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,311,True,13,0.07692307692307693,True,13,13,76
Vector-only,L027-Q3,v2,"The system successfully sent a request to create new topics, yet there's been no update from the controller. Could there be a connectivity issue?",core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,311,True,1,1.0,True,1,1,76
Vector-only,L028-Q1,v2,"Why is there an extended delay in the log cleanup process, and how is it affecting message retention in Kafka?",core/src/main/scala/kafka/log/LogManager.scala,612,True,2,0.5,True,2,2,129
Vector-only,L028-Q2,v2,"Hey, has anyone noticed if the log cleanup is taking longer than usual? It seems like things are getting backed up.",core/src/main/scala/kafka/log/LogManager.scala,612,True,2,0.5,True,2,2,73
Vector-only,L028-Q3,v2,Can we investigate the implications of the log cleanup starting with such a lengthy period? Is it causing any performance degradation?,core/src/main/scala/kafka/log/LogManager.scala,612,True,1,1.0,True,1,1,106
Vector-only,L029-Q1,v2,We're experiencing issues with processing incoming envelope responses due to missing header information. Can we investigate why the necessary request headers are not being parsed?,core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,275,True,2,0.5,True,2,2,130
Vector-only,L029-Q2,v2,"Hey team, it seems like our system is failing to read envelope responses properly. Is there a chance we could check what happened to the original request headers?",core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,275,True,4,0.25,True,4,4,118
Vector-only,L029-Q3,v2,"Could we run a diagnostic to determine the root cause of the failure in parsing envelope responses, specifically focusing on the absence of the required request header information?",core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,275,True,3,0.3333333333333333,True,3,3,161
Vector-only,L030-Q1,v2,What steps can we take to address the abrupt shutdown of the request handler identified as $id on broker $brokerId?,core/src/main/scala/kafka/server/KafkaRequestHandler.scala,124,True,1,1.0,True,1,1,149
Vector-only,L030-Q2,v2,"Hey team, did anyone notice that the request handler $id on broker $brokerId just went down unexpectedly? What could have triggered that?",core/src/main/scala/kafka/server/KafkaRequestHandler.scala,124,True,1,1.0,True,1,1,120
Vector-only,L030-Q3,v2,Could the sudden shutdown command for request handler $id on broker $brokerId indicate a potential issue with resource management or server stability?,core/src/main/scala/kafka/server/KafkaRequestHandler.scala,124,True,1,1.0,True,1,1,49
Vector-only,L031-Q1,v2,"Why did the broker receive approval to unfence, and what impact is this having on message processing?",metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,413,True,1,1.0,True,1,1,159
Vector-only,L031-Q2,v2,"Hey team, did we just get a green light from the broker to unfence? What does that mean for our current operations?",metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,413,True,1,1.0,True,1,1,173
Vector-only,L031-Q3,v2,Could the granting of the unfence request from the broker indicate underlying issues with our current queue management?,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,413,True,1,1.0,True,1,1,161
Vector-only,L032-Q1,v2,"The broker is unable to communicate with the controller, leading to issues with partition alterations. What are the possible configuration issues that could cause this?",core/src/main/scala/kafka/server/AlterPartitionManager.scala,247,True,1,1.0,True,1,1,110
Vector-only,L032-Q2,v2,Why is the broker being blocked from sending partition changes to the controller? Could this be a permissions problem?,core/src/main/scala/kafka/server/AlterPartitionManager.scala,247,True,1,1.0,True,1,1,149
Vector-only,L032-Q3,v2,We are encountering a situation where the broker lacks authorization to perform AlterPartition operations. Have there been any recent changes to the security settings or access controls?,core/src/main/scala/kafka/server/AlterPartitionManager.scala,247,True,1,1.0,True,1,1,150
Vector-only,L033-Q1,v2,We've observed that a connection was rejected because the maximum allowed connections from a specific IP address have been reached. Can we investigate the source and reason for this limit being hit?,core/src/main/scala/kafka/network/SocketServer.scala,691,True,1,1.0,True,1,1,98
Vector-only,L033-Q2,v2,Looks like we're hitting a connection cap from one IP address—any ideas on why this is happening?,core/src/main/scala/kafka/network/SocketServer.scala,691,True,1,1.0,True,1,1,75
Vector-only,L033-Q3,v2,Can we run a diagnostic on the connection limits? It appears that a client from ${e.ip} is unable to connect due to exceeding our maximum connection settings.,core/src/main/scala/kafka/network/SocketServer.scala,691,True,1,1.0,True,1,1,73
Vector-only,L034-Q1,v2,"Why are we seeing a transition of ${localFollowers.size} partitions, and how is it affecting message processing?",core/src/main/scala/kafka/server/ReplicaManager.scala,2465,True,1,1.0,True,1,1,151
Vector-only,L034-Q2,v2,"Hey, has anyone noticed that there are ${localFollowers.size} partitions moving around? Is this normal?",core/src/main/scala/kafka/server/ReplicaManager.scala,2465,True,1,1.0,True,1,1,246
Vector-only,L034-Q3,v2,Could the transition of ${localFollowers.size} partitions indicate a possible issue with our cluster's leader election process?,core/src/main/scala/kafka/server/ReplicaManager.scala,2465,True,1,1.0,True,1,1,240
Vector-only,L035-Q1,v2,"Why are we unable to delete the specified topics in Kafka, as it appears that the operation returned no results?",metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1014,True,1,1.0,True,1,1,138
Vector-only,L035-Q2,v2,"Hey team, has anyone else noticed that attempts to delete topics are coming back with no changes at all?",metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1014,True,1,1.0,True,1,1,159
Vector-only,L035-Q3,v2,Could this issue indicate a problem with the topic deletion permissions or configuration settings in our Kafka setup?,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1014,False,,0.0,True,21,21,152
Vector-only,L036-Q1,v2,We've encountered an issue where messages cannot be consumed because the specified topic or partition appears to be unknown to the leader. What could be causing this?,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,444,True,5,0.2,True,5,5,231
Vector-only,L036-Q2,v2,"Hey team, we're getting an unknown topic error when trying to access certain partitions. Has anyone else seen this or know what's going on?",core/src/main/scala/kafka/server/AbstractFetcherThread.scala,444,True,10,0.1,True,10,10,235
Vector-only,L036-Q3,v2,Could the absence of the expected topic or partition from the leader's perspective indicate a potential configuration error or a problem with our topic registrations?,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,444,True,8,0.125,True,8,8,173
Vector-only,L037-Q1,v2,We've observed an unexpected removal of a topic in our Kafka environment. Can we determine the implications of replaying a RemoveTopicRecord for this specific topic ID?,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,568,True,1,1.0,True,1,1,120
Vector-only,L037-Q2,v2,"Hey team, it looks like one of our Kafka topics has been removed, and I'm curious if anyone knows why this might have happened. What could trigger a replay of a RemoveTopicRecord?",metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,568,True,1,1.0,True,1,1,171
Vector-only,L037-Q3,v2,"During our debugging process, we need to investigate how replaying a RemoveTopicRecord for this topic ID affects the overall system. Are there dependencies that might be impacted?",metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,568,True,1,1.0,True,1,1,138
Vector-only,L038-Q1,v2,"Why is the periodic task not executing as expected, indicating that it may have been unregistered?",metadata/src/main/java/org/apache/kafka/controller/PeriodicTaskControlManager.java,175,True,1,1.0,True,1,1,72
Vector-only,L038-Q2,v2,"Hey, has anyone noticed that a scheduled task seems to be missing from our system?",metadata/src/main/java/org/apache/kafka/controller/PeriodicTaskControlManager.java,175,True,11,0.09090909090909091,True,11,11,88
Vector-only,L038-Q3,v2,Could the unexpected absence of the periodic task indicate an issue with our task registration process?,metadata/src/main/java/org/apache/kafka/controller/PeriodicTaskControlManager.java,175,True,3,0.3333333333333333,True,3,3,52
Vector-only,L039-Q1,v2,We're encountering issues where specific configurations for broker $brokerId appear to be unresponsive. What might be causing this failure in configuration application?,core/src/main/scala/kafka/server/DynamicBrokerConfig.scala,394,True,1,1.0,True,1,1,46
Vector-only,L039-Q2,v2,"Hey team, it looks like the settings for broker $brokerId aren't taking effect as expected. Any ideas on what could be going wrong?",core/src/main/scala/kafka/server/DynamicBrokerConfig.scala,394,True,1,1.0,True,1,1,103
Vector-only,L039-Q3,v2,What diagnostic steps can we take to identify why the configurations for broker $brokerId are not being applied as intended?,core/src/main/scala/kafka/server/DynamicBrokerConfig.scala,394,True,1,1.0,True,1,1,103
Vector-only,L040-Q1,v2,"Why are we consistently noticing that there are no entries that can be evicted from the cache, and how might this affect overall system performance?",core/src/main/scala/kafka/server/FetchSession.scala,731,True,2,0.5,True,2,2,201
Vector-only,L040-Q2,v2,It seems like the cache is telling us there aren't any evictable entries. Is that a good thing or is something potentially broken here?,core/src/main/scala/kafka/server/FetchSession.scala,731,True,2,0.5,True,2,2,269
Vector-only,L040-Q3,v2,"Could the absence of evictable entries indicate an unusual behavior in cache utilization, and what steps should we take to investigate further?",core/src/main/scala/kafka/server/FetchSession.scala,731,True,1,1.0,True,1,1,311
Vector-only,L041-Q1,v2,Why is the incremental fetch for session ${session.id} taking longer than expected to return results?,core/src/main/scala/kafka/server/FetchSession.scala,550,True,3,0.3333333333333333,True,3,3,55
Vector-only,L041-Q2,v2,"Hey, has anyone noticed that the data from session ${session.id} isn't showing up as it should?",core/src/main/scala/kafka/server/FetchSession.scala,550,True,8,0.125,True,8,8,109
Vector-only,L041-Q3,v2,Could the delay in the incremental fetch context for session ${session.id} indicate an underlying issue with data consistency or availability?,core/src/main/scala/kafka/server/FetchSession.scala,550,True,2,0.5,True,2,2,53
Vector-only,L042-Q1,v2,"The application is failing to initiate the acceptor for the specified listener endpoint, causing connection issues.",core/src/main/scala/kafka/network/SocketServer.scala,548,True,1,1.0,True,1,1,98
Vector-only,L042-Q2,v2,"Hey, it seems like the service won't start properly because it can't set up the listener. What's going on?",core/src/main/scala/kafka/network/SocketServer.scala,548,True,1,1.0,True,1,1,86
Vector-only,L042-Q3,v2,Can we check why the acceptor for the configured listener endpoint isn't initializing? This might be blocking the service.,core/src/main/scala/kafka/network/SocketServer.scala,548,True,1,1.0,True,1,1,57
Vector-only,L043-Q1,v2,We're experiencing connection issues with the NetworkClient; can you detail if any errors were encountered during the disconnection process?,core/src/main/scala/kafka/server/NodeToControllerChannelManager.scala,313,True,1,1.0,True,1,1,77
Vector-only,L043-Q2,v2,"Hey team, has anyone noticed any weirdness when trying to disconnect from the NetworkClient? It feels like something’s off.",core/src/main/scala/kafka/server/NodeToControllerChannelManager.scala,313,True,1,1.0,True,1,1,111
Vector-only,L043-Q3,v2,"What potential causes could lead to errors while disconnecting from the NetworkClient, and how can we investigate further?",core/src/main/scala/kafka/server/NodeToControllerChannelManager.scala,313,True,1,1.0,True,1,1,94
Vector-only,L044-Q1,v2,"The system is unable to successfully apply the updated configuration for the broker, resulting in potential disruptions in message processing.",core/src/main/scala/kafka/server/DynamicBrokerConfig.scala,584,True,1,1.0,True,1,1,70
Vector-only,L044-Q2,v2,"Hey team, I've noticed that we're having issues updating the broker settings – could this be causing our message delivery delays?",core/src/main/scala/kafka/server/DynamicBrokerConfig.scala,584,True,1,1.0,True,1,1,234
Vector-only,L044-Q3,v2,Could you check if there are underlying permission issues or connectivity problems that might be preventing the broker configuration from being updated?,core/src/main/scala/kafka/server/DynamicBrokerConfig.scala,584,True,1,1.0,True,1,1,124
