comparison,direction,query_id,question,expected_file,expected_line,rank_a,rank_b,effective_rank_change_b_minus_a
Vector+CrossEncoder minus Vector-only,worsened,L078-Q2,"Hey, has anyone else noticed that we can't create topics right now? Something's definitely up.",metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,878,1,16,15
Vector+CrossEncoder minus Vector-only,worsened,L056-Q2,"It seems we're having trouble with sending data to the named topic, leaving some messages stuck and unreleased.",core/src/main/scala/kafka/log/LogManager.scala,1488,3,17,14
Vector+CrossEncoder minus Vector-only,worsened,L065-Q1,The application is experiencing message delivery failures due to a partition issue.,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,501,1,12,11
Vector+CrossEncoder minus Vector-only,worsened,L078-Q1,"The system is failing to create new topics, resulting in a critical error message.",metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,878,3,14,11
Vector+CrossEncoder minus Vector-only,worsened,KAFKA-9357-Q3,Could inter-broker communication failure be causing fetch requests to drop before a response is read?,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,6,17,11
Vector+CrossEncoder minus Vector-only,worsened,KAFKA-13317-Q2,What Kafka log explains inter-broker fetch traffic failing with 'connection disconnected before the response was read'?,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,4,15,11
Vector+CrossEncoder minus Vector-only,worsened,L055-Q2,"Hey, it seems like there was a hiccup while trying to change the configuration settings. Any idea what’s going on?",core/src/main/scala/kafka/server/ConfigAdminManager.scala,255,1,11,10
Vector+CrossEncoder minus Vector-only,worsened,L076-Q1,"The cluster seems to be rejecting partition alteration requests, potentially affecting topic management. What might be causing this behavior?",metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1300,1,11,10
Vector+CrossEncoder minus Vector-only,worsened,L027-Q1,"We've initiated an auto-creation request for topics, but the controller isn't responding as expected. What could be causing this delay?",core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,311,4,13,9
Vector+CrossEncoder minus Vector-only,worsened,L076-Q3,Could there be a network issue or misconfiguration with the nodes that is preventing AlterPartition requests from being processed?,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1300,1,10,9
AST-KG+CrossEncoder(static-K) minus Vector-only,improved,L026-Q2,It looks like we're running into a problem where the fetch process isn't starting for one of our topic partitions. What could be causing this?,core/src/main/scala/kafka/server/ReplicaManager.scala,2508,,3,-18
AST-KG+CrossEncoder(static-K) minus Vector-only,improved,L026-Q3,What diagnostic steps can we take to identify why the fetching process for the specified topic partition isn't starting up correctly?,core/src/main/scala/kafka/server/ReplicaManager.scala,2508,,5,-16
AST-KG+CrossEncoder(static-K) minus Vector-only,improved,L001-Q3,Could the alteration in partition assignments for our Kafka messages be linked to recent scaling operations or configuration changes?,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,2055,17,4,-13
AST-KG+CrossEncoder(static-K) minus Vector-only,improved,L035-Q3,Could this issue indicate a problem with the topic deletion permissions or configuration settings in our Kafka setup?,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1014,,8,-13
AST-KG+CrossEncoder(static-K) minus Vector-only,improved,L003-Q2,I noticed that node X couldn't handle the AlterPartition request for topic Y-partition Z—could this be causing issues with data replication?,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1266,14,2,-12
AST-KG+CrossEncoder(static-K) minus Vector-only,improved,L052-Q2,"Hey, have you noticed that we're getting errors when trying to access the end offset for a topic? It seems like it's throwing a critical issue.",core/src/main/scala/kafka/server/LocalLeaderEndPoint.scala,155,13,1,-12
AST-KG+CrossEncoder(static-K) minus Vector-only,improved,L075-Q2,"Hey, why's our consumer suddenly acting weird? I think the offset just reset for one of the partitions.",core/src/main/scala/kafka/server/AbstractFetcherThread.scala,677,20,10,-10
AST-KG+CrossEncoder(static-K) minus Vector-only,improved,L003-Q1,"Why is the AlterPartition request from node X failing for topic Y-partition Z, and what impact is this having on message processing?",metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1266,11,2,-9
AST-KG+CrossEncoder(static-K) minus Vector-only,improved,L012-Q1,It seems that a broker in our Kafka cluster has unexpectedly fenced itself. What impact has this had on message processing and consumer behavior?,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,408,10,1,-9
AST-KG+CrossEncoder(static-K) minus Vector-only,improved,L067-Q1,"The system is experiencing unexpected behavior as the controller is not providing enough results, causing delays in processing.",core/src/main/scala/kafka/server/ConfigAdminManager.scala,368,10,2,-8
AST-KG+CrossEncoder(static-K) minus Vector-only,worsened,L078-Q2,"Hey, has anyone else noticed that we can't create topics right now? Something's definitely up.",metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,878,1,20,19
AST-KG+CrossEncoder(static-K) minus Vector-only,worsened,KAFKA-13317-Q2,What Kafka log explains inter-broker fetch traffic failing with 'connection disconnected before the response was read'?,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,4,,17
AST-KG+CrossEncoder(static-K) minus Vector-only,worsened,L055-Q2,"Hey, it seems like there was a hiccup while trying to change the configuration settings. Any idea what’s going on?",core/src/main/scala/kafka/server/ConfigAdminManager.scala,255,1,13,12
AST-KG+CrossEncoder(static-K) minus Vector-only,worsened,L078-Q1,"The system is failing to create new topics, resulting in a critical error message.",metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,878,3,15,12
AST-KG+CrossEncoder(static-K) minus Vector-only,worsened,KAFKA-13317-Q3,Could broken broker-to-broker connectivity be the cause of repeated fetch request disconnects?,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,9,,12
AST-KG+CrossEncoder(static-K) minus Vector-only,worsened,L055-Q1,"The configuration update failed to process properly, leading to potential issues with the Kafka setup. What might be causing this error?",core/src/main/scala/kafka/server/ConfigAdminManager.scala,255,10,,11
AST-KG+CrossEncoder(static-K) minus Vector-only,worsened,L038-Q2,"Hey, has anyone noticed that a scheduled task seems to be missing from our system?",metadata/src/main/java/org/apache/kafka/controller/PeriodicTaskControlManager.java,175,11,,10
AST-KG+CrossEncoder(static-K) minus Vector-only,worsened,L076-Q1,"The cluster seems to be rejecting partition alteration requests, potentially affecting topic management. What might be causing this behavior?",metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1300,1,11,10
AST-KG+CrossEncoder(static-K) minus Vector-only,worsened,KAFKA-13317-Q1,Why are brokers repeatedly logging that fetch requests to another broker were disconnected before a response was read?,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,11,,10
AST-KG+CrossEncoder(static-K) minus Vector-only,worsened,L027-Q1,"We've initiated an auto-creation request for topics, but the controller isn't responding as expected. What could be causing this delay?",core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,311,4,13,9
